,COMPL_RPY_1YR_RT,COMPL_RPY_3YR_RT,COMPL_RPY_5YR_RT,COMPL_RPY_7YR_RT,C100_4,C100_L4,DEBT_MDN_SUPP,GRAD_DEBT_MDN,DEBT_N,GRAD_DEBT_N,LATITUDE,LONGITUDE,REGION,LOCALE,SCH_DEG,MAIN,NUMBRANCH,HIGHDEG,CONTROL,ST_FIPS,AVGFACSAL,PFTFAC,ICLEVEL,UG,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,MEDIAN_HH_INC,UNEMP_RATE,UGDS_MEN,UGDS_WOMEN,cost,earning
5004,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,,,PrivacySuppressed,PrivacySuppressed,24,PrivacySuppressed,41.562403,-70.61202800000001,1,22.0,3.0,1,1,4,2,25,,,1,,,,,,,,,PrivacySuppressed,PrivacySuppressed,0.7921,0.2079,,
5005,0.4915254237,0.5748031496,0.4924242424,0.5448275862,,0.1379,9500,12969,183,81,37.300967,-91.964963,4,43.0,2.0,1,1,2,2,29,3910.0,0.3548,2,,,,,,,,,35959.68,3.74000000953674,0.0867,0.9133,25966.0,27100
5006,0.2280701754,0.298245614,0.3473684211,0.5108695652,,,10436,20000,184,68,39.049869,-94.498289,4,11.0,1.0,1,1,1,3,29,,,2,,,,,,,,,54916.65,3.91000008583068,0.882,0.11800000000000001,29113.0,28800
5007,0.4965277778,0.4272260274,0.4304291287,0.5416666667,,0.0411,9500,9855,4778,2800,30.442482000000002,-89.039348,5,13.0,1.0,0,8,1,3,28,,,3,,,,,,,,,50277.09,3.73000001907348,0.1172,0.8828,26727.0,17100
5008,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,0.6583,,23478,52000,357,62,35.922645,-78.841386,5,11.0,3.0,1,1,4,2,37,3136.0,1.0,1,,,,,,,,,65610.13,3.25999999046325,0.34700000000000003,0.653,11550.0,PrivacySuppressed
5009,0.6796875,0.7076923077,0.685,0.6809815951,,0.8879,7600,7600,203,169,41.029337,-74.297239,2,21.0,1.0,1,1,1,3,34,,,3,,,,,,,,,80445.87,3.69000005722045,0.3063,0.6937,28971.0,25800
5010,PrivacySuppressed,PrivacySuppressed,0.5703703704,PrivacySuppressed,,0.6378,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,40.729169,-73.858364,2,11.0,1.0,1,1,1,2,36,,,3,,,,,,,,,54131.29,4.63999986648559,0.1115,0.8885,14617.0,17600
5011,0.59375,0.5757575758,PrivacySuppressed,PrivacySuppressed,,0.6667,8900,9920,71,49,43.14606,-78.866537,2,41.0,1.0,1,1,1,1,36,,,3,,,,,,,,,55414.52,3.19000005722045,0.0256,0.9744,18920.0,PrivacySuppressed
5012,,,,,,,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,41.12362,-74.090159,2,21.0,3.0,1,1,3,2,36,2797.0,1.0,1,,,,,,,,,54851.5,3.91000008583068,1.0,0.0,,PrivacySuppressed
5013,0.5,0.5189873418,0.5398230088,0.5535714286,,0.5,PrivacySuppressed,PrivacySuppressed,11,PrivacySuppressed,42.961017,-78.752161,2,21.0,,1,1,1,3,36,,,3,,,,,,,,,57982.97,4.15000009536743,0.2,0.8,,16500
